timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
1779266515,208,2,1,204,0,2,2,4,0,0,0,0,1
1779266520,938,4,0,930,0,4,1,3,0,2,0,0,1
1779266525,944,0,0,942,0,0,0,2,0,0,0,0,1
1779266530,992,2,0,990,0,2,1,3,0,0,0,0,1
1779266535,980,2,0,978,0,2,1,3,0,0,0,0,1
1779266540,926,4,0,922,0,4,1,3,0,0,0,0,1
1779266545,922,2,0,920,0,2,1,3,0,0,0,0,1
1779266550,989,4,0,984,0,4,1,3,0,0,0,0,1
1779266555,984,0,0,984,0,0,0,2,0,0,0,0,1
1779266560,928,2,0,926,0,2,1,3,0,0,0,0,1
1779266565,922,0,0,920,0,0,0,2,0,1,0,0,1
1779266570,982,6,0,976,0,6,1,3,0,0,0,0,1
1779266575,996,0,0,994,0,0,0,2,0,1,0,0,1
1779266580,977,1,0,976,0,1,1,3,0,0,0,0,1
1779266585,941,0,1,934,0,0,1,2,1,0,0,0,1
1779266590,941,10,2,928,2,9,5,5,1,0,0,0,1
1779266595,996,0,0,994,0,0,0,2,0,1,0,0,1
1779266600,1005,1,2,994,0,1,3,4,1,0,0,0,1
1779266605,935,0,0,930,0,0,0,2,0,1,0,0,1
1779266610,931,4,0,926,0,4,1,3,0,0,0,0,1
1779266615,950,0,0,950,0,0,0,2,0,0,0,0,1
1779266620,996,2,0,994,0,2,1,3,0,0,0,0,1
1779266625,960,3,0,954,0,3,1,3,0,1,0,0,1
1779266630,940,2,0,938,0,2,1,3,0,0,0,0,1
1779266635,948,2,0,946,0,2,1,3,0,0,0,0,1
1779266640,994,2,0,992,0,2,1,3,0,0,0,0,1
1779266645,996,2,0,992,0,2,1,3,0,1,0,0,1
1779266650,924,1,0,920,0,1,1,3,0,0,0,0,1
1779266655,926,0,0,926,0,0,0,2,0,0,0,0,1
1779266660,983,1,0,982,0,1,1,3,0,0,0,0,1
1779266665,997,2,0,992,0,2,1,3,0,0,0,0,1
1779266670,957,1,0,956,0,1,1,3,0,0,0,0,1
1779266675,927,1,0,924,0,1,1,3,0,0,0,0,1
1779266680,969,1,0,966,0,1,1,3,0,1,0,0,1
1779266685,1000,0,0,998,0,0,0,2,0,1,0,0,1
1779266690,971,1,0,970,0,1,1,3,0,0,0,0,1
1779266695,919,1,0,918,0,1,1,3,0,0,0,0,1
1779266700,934,1,0,932,0,1,1,3,0,0,0,0,1
1779266705,1008,0,0,1008,0,0,0,2,0,0,0,0,1
1779266710,998,1,1,994,0,1,2,4,1,0,0,0,1
1779266715,952,2,2,942,0,2,2,3,2,0,0,0,1
1779266720,927,1,0,924,0,1,1,3,0,0,0,0,1
1779266725,976,0,0,972,0,0,0,2,0,1,0,0,1
1779266730,1012,1,0,992,0,1,1,3,0,0,0,0,1
1779266735,966,0,0,964,0,0,0,2,0,1,0,0,1
1779266740,919,1,0,916,0,1,1,3,0,0,0,0,1
1779266745,952,1,0,950,0,1,1,3,0,0,0,0,1
1779266750,995,1,0,994,0,1,1,3,0,0,0,0,1
1779266755,990,0,0,990,0,0,0,2,0,0,0,0,1
1779266760,918,2,0,916,0,2,1,3,0,0,0,0,1
1779266765,926,0,0,926,0,0,0,2,0,0,0,0,1
1779266770,993,1,0,990,0,1,1,3,0,1,0,0,1
1779266775,989,0,0,986,0,0,0,2,0,1,0,0,1
1779266780,953,5,0,948,0,5,1,3,0,0,0,0,1
1779266785,937,5,0,932,0,5,1,3,0,0,0,0,1
1779266790,957,2,0,954,0,2,1,3,0,0,0,0,1
1779266795,992,2,0,990,0,2,1,3,0,0,0,0,1
1779266800,982,1,0,979,0,1,1,3,0,0,0,0,1
1779266805,934,1,0,927,0,1,1,3,0,0,0,0,1
1779266810,946,1,0,932,0,1,1,3,0,1,0,0,1
1779266815,1011,2,8,988,0,2,2,4,6,1,0,0,1
1779266820,1009,3,5,992,0,3,2,4,1,0,0,0,1
1779266825,942,0,1,940,0,0,1,3,0,0,0,0,1
1779266830,934,2,1,930,0,2,2,4,0,0,0,0,1
1779266835,977,2,0,960,0,2,1,3,0,0,0,0,1
1779266840,1034,6,17,988,0,6,4,3,12,0,0,0,1
1779266845,988,2,2,976,0,2,2,3,0,0,0,0,1
1779266850,926,2,0,920,0,2,1,3,0,1,0,0,1
1779266855,957,0,0,938,0,0,0,2,0,1,0,0,1
1779266860,1000,4,6,984,0,4,2,3,3,0,0,0,1
1779266865,994,0,0,994,0,0,0,2,0,0,0,0,1
1779266870,936,2,0,934,0,2,1,3,0,0,0,0,1
1779266875,938,0,0,938,0,0,0,2,0,0,0,0,1
1779266880,966,2,0,964,0,2,1,3,0,0,0,0,1
1779266885,992,0,0,992,0,0,0,2,0,0,0,0,1
1779266890,973,10,2,958,2,8,5,5,1,1,0,0,1
1779266895,930,0,0,924,0,0,0,2,0,2,0,0,1
1779266900,953,1,2,940,0,1,3,4,1,0,0,0,1
1779266905,979,1,0,976,0,1,1,3,0,0,0,0,1
1779266910,994,1,0,992,0,1,1,3,0,0,0,0,1
1779266915,936,1,0,934,0,1,1,3,0,0,0,0,1
1779266920,927,1,0,926,0,1,1,3,0,0,0,0,1
1779266925,979,0,0,978,0,0,0,2,0,0,0,0,1
1779266930,996,2,0,992,0,2,1,3,0,1,0,0,1
1779266935,702,2,0,700,0,2,1,3,0,0,0,0,1
1779266980,2,0,1,0,0,0,1,1,0,0,0,0,1
1779266985,73299,2,0,73296,0,2,1,3,0,0,0,0,1
1779266990,129888,1,0,129882,0,1,1,3,0,1,0,0,1
1779266995,178970,0,0,178968,0,0,0,2,0,1,0,0,1
1779267000,129823,3,0,129820,0,3,1,3,0,0,0,0,1
1779267005,130272,0,0,130270,0,0,0,2,0,0,0,0,1
1779267010,17501,1,0,17498,0,1,1,3,0,0,0,0,1
1779267020,118338,0,0,118336,0,0,0,2,0,0,0,0,1
1779267025,131156,0,0,131156,0,0,0,2,0,0,0,0,1
1779267030,128398,0,7,128380,0,0,1,3,5,0,0,0,1
1779267035,99791,1,4,99778,0,1,2,4,1,1,0,0,1
1779267040,131403,0,0,131402,0,0,0,2,0,0,0,0,1
1779267045,135269,0,0,135266,0,0,0,2,0,1,0,0,1
1779267050,36002,0,0,36002,0,0,0,2,0,0,0,0,1
1779267195,88761,0,0,88761,0,0,0,2,0,0,0,0,1
1779267200,129525,2,2,129516,0,2,3,4,1,2,0,0,1
1779267205,132602,0,9,132569,0,0,1,3,5,1,0,0,1
1779267210,135101,4,1,135090,0,4,2,4,0,0,0,0,1
1779267215,138414,0,1,138412,0,0,1,3,1,0,0,0,1
1779267220,141222,0,0,141222,0,0,0,2,0,0,0,0,1
1779267225,137084,0,0,137080,0,0,0,3,0,0,0,0,1
1779267230,135197,2,10,135172,0,2,2,5,5,0,0,0,1
1779267235,134171,0,2,134164,0,0,1,3,0,0,0,0,1
1779267240,135998,0,5,135982,0,0,1,3,3,1,0,0,1
1779267245,137839,0,3,137828,0,0,1,3,1,0,0,0,1
1779267250,118683,2,8,118661,0,2,2,4,4,0,0,0,1
