timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
1779267195,88761,0,0,88761,0,0,0,2,0,0,0,0,1
1779267200,129525,2,2,129516,0,2,3,4,1,2,0,0,1
1779267205,132602,0,9,132569,0,0,1,3,5,1,0,0,1
1779267210,135101,4,1,135090,0,4,2,4,0,0,0,0,1
1779267215,138414,0,1,138412,0,0,1,3,1,0,0,0,1
1779267220,141222,0,0,141222,0,0,0,2,0,0,0,0,1
1779267225,137084,0,0,137080,0,0,0,3,0,0,0,0,1
1779267230,135197,2,10,135172,0,2,2,5,5,0,0,0,1
1779267235,134171,0,2,134164,0,0,1,3,0,0,0,0,1
1779267240,135998,0,5,135982,0,0,1,3,3,1,0,0,1
1779267245,137839,0,3,137828,0,0,1,3,1,0,0,0,1
1779267250,118683,2,8,118661,0,2,2,4,4,0,0,0,1
