timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
20:05:15,19,0,0,0,0,0,0,0,0,0,19,0,3
20:05:20,16,0,0,0,0,0,0,0,0,0,16,0,3
20:05:25,32,0,0,0,0,0,0,0,0,0,32,0,3
20:05:30,16,0,0,0,0,0,0,0,0,0,16,0,3
20:05:35,13,0,0,0,0,0,0,0,0,0,13,0,3
20:08:20,31,0,0,0,0,0,0,0,0,0,31,0,3
20:08:25,23,0,0,0,0,0,0,0,0,0,23,0,3
20:08:30,25,0,0,0,0,0,0,0,0,0,25,0,3
20:08:35,17,0,0,0,0,0,0,0,0,0,17,0,3
20:09:05,15,0,0,0,0,0,0,0,0,0,15,0,3
20:09:10,23,0,0,0,0,0,0,0,0,0,23,0,3
20:09:15,16,0,0,0,0,0,0,0,0,0,16,0,3
20:09:20,32,0,0,0,0,0,0,0,0,0,32,0,3
20:09:25,10,0,0,0,0,0,0,0,0,0,10,0,3
20:09:55,20,0,0,0,0,0,0,0,0,0,20,0,3
20:10:00,18,0,0,0,0,0,0,0,0,0,18,0,3
20:10:05,31,0,0,0,0,0,0,0,0,0,31,0,3
20:10:10,17,0,0,0,0,0,0,0,0,0,17,0,3
20:10:15,10,0,0,0,0,0,0,0,0,0,10,0,3
20:10:40,6,0,0,0,0,0,0,0,0,0,6,0,3
20:10:45,16,0,0,0,0,0,0,0,0,0,16,0,3
20:10:50,31,0,0,0,0,0,0,0,0,0,31,0,3
20:10:55,18,0,0,0,0,0,0,0,0,0,18,0,3
20:11:00,25,0,0,0,0,0,0,0,0,0,25,0,3
20:11:30,12,0,0,0,0,0,0,0,0,0,12,0,3
20:11:35,27,0,0,0,0,0,0,0,0,0,27,0,3
20:11:40,24,0,0,0,0,0,0,0,0,0,24,0,3
20:11:45,24,0,0,0,0,0,0,0,0,0,24,0,3
20:11:50,10,0,0,0,0,0,0,0,0,0,10,0,3
20:12:10,1,0,0,0,0,0,0,0,0,0,1,0,3
20:12:15,1,0,0,0,0,0,0,0,0,0,1,0,3
20:12:20,20,0,0,0,0,0,0,0,0,0,20,0,3
20:12:25,32,0,0,0,0,0,0,0,0,0,32,0,3
20:12:30,19,0,0,0,0,0,0,0,0,0,19,0,3
20:12:35,23,0,0,0,0,0,0,0,0,0,23,0,3
20:12:40,1,0,0,0,0,0,0,0,0,0,1,0,3
20:13:05,7,0,0,0,0,0,0,0,0,0,7,0,3
20:13:10,26,0,0,0,0,0,0,0,0,0,26,0,3
20:13:15,22,0,0,0,0,0,0,0,0,0,22,0,3
20:13:20,30,0,0,0,0,0,0,0,0,0,30,0,3
20:13:25,11,0,0,0,0,0,0,0,0,0,11,0,3
20:13:55,21,0,0,0,0,0,0,0,0,0,21,0,3
20:14:00,16,0,0,0,0,0,0,0,0,0,16,0,3
20:15:55,1,0,0,0,0,0,0,0,0,0,1,0,3
