timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
1778755609,842,842,0,0,421,422,832,2,0,0,0,0,2
1778755610,462,462,0,0,231,231,440,2,0,0,0,0,2
1778755611,808,808,0,0,404,404,782,2,0,0,0,0,2
1778755616,1656,1656,0,0,828,829,1624,2,0,0,0,0,2
1778755617,344,344,0,0,172,172,343,2,0,0,0,0,2
1778755618,144,144,0,0,72,73,135,2,0,0,0,0,2
1778755619,452,452,0,0,226,226,451,2,0,0,0,0,2
1778755620,1492,1492,0,0,746,746,1415,2,0,0,0,0,2
1778755621,58,58,0,0,29,29,58,2,0,0,0,0,2
1778755622,606,606,0,0,303,304,600,2,0,0,0,0,2
1778755623,1302,1302,0,0,651,651,1222,2,0,0,0,0,2
1778755624,220,220,0,0,110,110,220,2,0,0,0,0,2
