timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
1779273155,1,0,0,0,0,0,0,0,0,1,0,0,4
1779273160,5,0,0,0,0,0,0,0,0,3,0,0,4
1779273165,2,0,0,0,0,0,0,0,0,2,0,0,4
1779273170,26,0,10,0,0,0,1,1,5,3,0,0,4
1779273175,8,0,3,0,0,0,1,1,1,2,0,0,4
1779273180,8,0,1,0,0,0,1,1,1,3,0,0,4
1779273185,4,0,1,0,0,0,1,1,0,2,0,0,4
1779273190,8,0,0,0,0,0,0,0,0,3,0,0,4
1779273195,3,0,1,0,0,0,1,1,1,2,0,0,4
1779273200,11,3,1,0,3,0,2,1,0,2,0,0,4
1779273205,11,4,0,0,4,0,1,1,0,3,0,0,4
1779273210,8,1,0,0,1,0,1,1,0,2,0,0,4
1779273215,17,0,0,0,0,0,0,0,0,3,0,0,4
1779273220,13,6,0,0,6,0,1,1,0,2,0,0,4
1779273225,17,14,0,0,14,0,1,1,0,3,0,0,4
1779273230,13,10,0,0,10,0,1,1,0,2,0,0,4
1779273235,16,5,0,0,5,0,1,1,0,3,0,0,4
1779273240,12,7,0,0,7,0,1,1,0,2,0,0,4
1779273245,7,3,0,0,3,0,1,1,0,3,0,0,4
1779273250,6,2,0,0,2,0,1,1,0,2,0,0,4
1779273255,8,5,0,0,5,0,1,1,0,3,0,0,4
1779273260,6,2,1,0,2,0,2,1,0,2,0,0,4
1779273265,2,0,0,0,0,0,0,0,0,2,0,0,4
1779273270,5,1,0,0,1,0,1,1,0,3,0,0,4
1779273275,3,0,0,0,0,0,0,0,0,2,0,0,4
1779273280,39,0,19,0,0,0,3,1,12,3,0,0,4
1779273285,10,4,0,0,4,0,1,1,0,2,0,0,4
1779273290,37,3,11,0,3,0,2,2,6,3,0,0,4
1779273295,12,1,3,0,1,0,2,2,0,2,0,0,4
1779273300,5,0,0,0,0,0,0,0,0,3,0,0,4
1779273305,4,1,0,0,1,0,1,1,0,2,0,0,4
1779273310,7,0,0,0,0,0,0,0,0,3,0,0,4
1779273315,2,0,0,0,0,0,0,0,0,2,0,0,4
1779273320,6,0,1,0,0,0,1,1,0,4,0,0,4
1779273325,2,0,0,0,0,0,0,0,0,2,0,0,4
1779273330,2,0,0,0,0,0,0,0,0,1,0,0,4
1779273335,3,0,0,0,0,0,0,0,0,2,0,0,4
1779273340,4,0,0,0,0,0,0,0,0,3,0,0,4
1779273345,3,0,0,0,0,0,0,0,0,2,0,0,4
1779273350,13,5,0,0,5,0,1,1,0,3,0,0,4
1779273355,8,2,0,0,2,0,1,1,0,2,0,0,4
1779273360,7,1,0,0,1,0,1,1,0,3,0,0,4
1779273365,3,1,0,0,1,0,1,1,0,2,0,0,4
1779273370,5,0,0,0,0,0,0,0,0,3,0,0,4
1779273375,5,0,0,0,0,0,0,0,0,2,0,0,4
1779273380,6,0,0,0,0,0,0,0,0,3,0,0,4
1779273385,8,0,1,0,0,0,1,1,0,2,0,0,4
1779273390,3,0,0,0,0,0,0,0,0,2,0,0,4
1779273395,9,0,3,0,0,0,1,1,0,3,0,0,4
1779273400,5,0,1,0,0,0,1,1,0,2,0,0,4
1779273405,3,0,0,0,0,0,0,0,0,3,0,0,4
1779273410,3,0,0,0,0,0,0,0,0,2,0,0,4
1779273415,20,0,7,0,0,0,1,1,5,3,0,0,4
1779273420,11,0,3,0,0,0,1,1,1,2,0,0,4
1779273425,5,0,1,0,0,0,1,1,0,3,0,0,4
1779273430,5,0,1,0,0,0,1,1,1,2,0,0,4
1779273435,5,0,1,0,0,0,1,1,0,3,0,0,4
1779273440,4,0,0,0,0,0,0,0,0,2,0,0,4
1779273445,5,0,1,0,0,0,1,1,0,3,0,0,4
1779273450,6,1,0,0,0,1,1,1,0,2,0,0,4
1779273455,3,0,0,0,0,0,0,0,0,2,0,0,4
1779273460,4,0,0,0,0,0,0,0,0,3,0,0,4
1779273465,2,0,0,0,0,0,0,0,0,2,0,0,4
1779273470,4,0,0,0,0,0,0,0,0,3,0,0,4
1779273475,22,3,6,0,3,0,2,2,3,2,0,0,4
1779273480,22,4,3,0,4,0,2,2,1,3,0,0,4
1779273485,14,1,2,0,1,0,2,2,0,2,0,0,4
1779273490,7,0,0,0,0,0,0,0,0,3,0,0,4
1779273495,4,1,0,0,1,0,1,1,0,2,0,0,4
1779273500,10,0,2,0,0,0,1,1,1,3,0,0,4
1779273505,21,0,10,0,0,0,2,2,4,2,0,0,4
1779273510,7,0,2,0,0,0,2,2,0,2,0,0,4
1779273515,17,0,1,0,0,0,1,1,1,3,0,0,4
1779273520,10,0,0,0,0,0,0,0,0,2,0,0,4
1779273525,9,0,2,0,0,0,2,2,0,3,0,0,4
1779273530,4,0,0,0,0,0,0,0,0,2,0,0,4
1779273535,12,0,0,0,0,0,0,0,0,3,0,0,4
1779273540,5,0,0,0,0,0,0,0,0,2,0,0,4
1779273545,5,0,1,0,0,0,1,1,0,3,0,0,4
1779273550,3,0,0,0,0,0,0,0,0,2,0,0,4
1779273555,4,0,1,0,0,0,1,1,0,3,0,0,4
1779273560,3,0,0,0,0,0,0,0,0,2,0,0,4
1779273565,6,0,2,0,0,0,2,1,0,2,0,0,4
1779273570,4,0,0,0,0,0,0,0,0,3,0,0,4
1779273575,3,0,1,0,0,0,1,1,0,2,0,0,4
1779273580,5,0,0,0,0,0,0,0,0,3,0,0,4
1779273585,3,0,0,0,0,0,0,0,0,2,0,0,4
1779273590,5,0,0,0,0,0,0,0,0,3,0,0,4
1779273595,2,0,0,0,0,0,0,0,0,2,0,0,4
1779273600,10,0,0,0,0,0,0,0,0,3,0,0,4
1779273605,2,0,0,0,0,0,0,0,0,2,0,0,4
1779273610,4,0,0,0,0,0,0,0,0,3,0,0,4
1779273615,2,0,0,0,0,0,0,0,0,2,0,0,4
1779273620,4,0,0,0,0,0,0,0,0,3,0,0,4
1779273625,3,0,1,0,0,0,1,1,0,2,0,0,4
1779273630,4,0,0,0,0,0,0,0,0,3,0,0,4
1779273635,2,0,0,0,0,0,0,0,0,2,0,0,4
1779273640,3,0,0,0,0,0,0,0,0,2,0,0,4
1779273645,3,0,0,0,0,0,0,0,0,2,0,0,4
block_0,5,0,0,0,0,0,0,0,0,0,0,0,4
block_0,5,0,0,0,0,0,0,0,0,0,0,0,4
block_0,5,0,0,0,0,0,0,0,0,0,0,0,4
