timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
1779271765,915,911,0,0,456,455,456,2,0,2,0,0,2
1779271770,3198,3190,1,0,1595,1595,1004,4,0,3,0,0,2
1779271775,5925,5907,0,0,2955,2952,1003,2,0,9,0,0,2
1779271780,8129,8101,7,0,4052,4049,1006,4,4,6,0,0,2
1779271785,6027,6003,3,0,3003,3000,1004,3,1,6,0,0,2
1779271790,2022,2001,1,0,1001,1000,1002,3,0,7,0,0,2
1779271795,4344,4332,0,0,2167,2165,1004,2,0,4,0,0,2
1779271800,5288,5266,0,0,2634,2632,1003,3,0,10,0,0,2
1779271805,8757,8742,0,0,4373,4369,1005,2,0,7,0,0,2
1779271810,6016,6006,0,0,3003,3003,1003,3,0,4,0,0,2
1779271815,2188,2173,1,0,1087,1086,1003,3,1,6,0,0,2
1779271820,4037,4005,9,0,2002,2003,1003,4,5,4,0,0,2
1779271825,4014,4002,2,0,2002,2000,1003,3,0,4,0,0,2
1779271830,4020,4004,0,0,2002,2002,1002,3,0,7,0,0,2
1779271835,5278,5248,8,0,2625,2623,1004,4,5,5,0,0,2
1779271840,5107,5093,4,0,2547,2546,1006,4,1,3,0,0,2
1779271845,8024,8004,2,0,4004,4000,1005,3,1,6,0,0,2
1779271850,7820,7784,7,0,3894,3890,1005,3,3,8,0,0,2
1779271855,4403,4388,4,0,2195,2193,1005,3,2,4,0,0,2
1779271860,4132,4115,4,0,2058,2057,1005,4,0,3,0,0,2
1779271865,6016,6003,0,0,3003,3000,1003,2,0,6,0,0,2
1779271870,8026,8005,0,0,4004,4001,1004,3,0,9,0,0,2
1779271875,4235,4223,0,0,2112,2111,1003,3,0,6,0,0,2
1779271880,3097,3084,0,0,1542,1542,1002,3,0,6,0,0,2
1779271885,6944,6929,0,0,3464,3465,1006,3,0,6,0,0,2
1779271890,8370,8351,0,0,4177,4174,1005,3,0,6,0,0,2
1779271895,9225,9200,0,0,4602,4598,1005,2,0,8,0,0,2
1779271900,3647,3637,0,0,1819,1818,1005,3,0,4,0,0,2
1779271905,3995,3991,0,0,1996,1995,1005,2,0,2,0,0,2
1779271910,4408,4373,11,0,2188,2185,1005,3,6,5,0,0,2
1779271915,7940,7918,4,0,3961,3957,1006,3,1,7,0,0,2
1779271920,5766,5760,0,0,2880,2880,1004,3,0,3,0,0,2
1779271925,4106,4096,0,0,2049,2047,1005,2,0,5,0,0,2
1779271930,5646,5633,0,0,2817,2816,1003,3,0,5,0,0,2
1779271935,2377,2373,0,0,1187,1186,1002,2,0,2,0,0,2
1779271940,7304,7284,0,0,3642,3642,1004,3,0,9,0,0,2
1779271945,3378,3372,0,0,1685,1687,1005,3,0,3,0,0,2
1779271950,4801,4790,0,0,2396,2394,1004,2,0,4,0,0,2
1779271955,8882,8870,0,0,4437,4433,1005,2,0,5,0,0,2
1779271960,8938,8919,0,0,4461,4458,1005,3,0,8,0,0,2
1779271965,5299,5291,0,0,2646,2645,1005,3,0,4,0,0,2
1779271970,4063,4054,0,0,2027,2027,1003,3,0,4,0,0,2
1779271975,4039,4002,13,0,2002,2000,1003,3,7,4,0,0,2
1779271980,8021,8005,1,0,4004,4001,1005,4,0,7,0,0,2
1779271985,4027,4013,1,0,2007,2006,1004,4,1,6,0,0,2
1779271990,2687,2675,0,0,1337,1338,1003,3,0,5,0,0,2
1779271995,5759,5750,0,0,2876,2874,1005,2,0,4,0,0,2
1779272000,2019,2011,3,0,1003,1009,1004,6,1,2,0,0,2
